城市,标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,区域,链接
上海,次新小区，一手动迁，户型方正，动迁 税费少,120,"21,572元/平",1室2厅,55.63平米,南,精装,低楼层(共18层),2017年,云翔佳苑南区,南翔,https://sh.lianjia.com/ershoufang/107110678162.html
上海,14号线新出电梯南北两房 一梯三户 紧靠公园 看房方便,376,"44,561元/平",2室2厅,84.38平米,南 北,简装,高楼层(共11层),2012年,金葵新城(西区),金桥,https://sh.lianjia.com/ershoufang/107114457803.html
上海,诚意出售，看房方便，低楼层，拎包入住,75,"15,887元/平",2室1厅,47.21平米,南 北,精装,中楼层(共5层),1979年,水仙小区,安亭,https://sh.lianjia.com/ershoufang/107114035599.html
上海,五年不出一套爆款边套带大花园，高半层地铁口,628,"57,221元/平",3室2厅,109.75平米,南 西南,精装,低楼层(共7层),2001年,金沙雅苑(一期),长征,https://sh.lianjia.com/ershoufang/107114497049.html
上海,中间楼层，精装修，房型正气，业主诚意度拉满,269,"45,325元/平",2室1厅,59.35平米,南,精装,中楼层(共6层),1993年,六里二村,世博,https://sh.lianjia.com/ershoufang/107114414668.html
上海,中间位置新上高区朝南一房一厅，有钥匙随时看，非顶楼,650,"104,805元/平",1室1厅,62.02平米,南,精装,高楼层(共30层),2003年,上海壹街区,南京西路,https://sh.lianjia.com/ershoufang/107113524049.html
上海,全明户型 2室2厅 南北 江湾公园 环境优美,306,"34,487元/平",2室1厅,88.73平米,南,简装,中楼层(共6层),1996年,丰镇新村,江湾镇,https://sh.lianjia.com/ershoufang/107111597593.html
上海,精装修双南小两房，低楼层进出方便，独特弧形阳台,193,"39,729元/平",2室1厅,48.58平米,南,简装,低楼层(共6层),1993年,济阳三村,世博,https://sh.lianjia.com/ershoufang/107114384540.html
上海,2016年电梯房，南北通透，业主诚售，看房方便,218,"26,901元/平",2室2厅,81.04平米,南 北,简装,低楼层(共15层),2015年,华川家园,川沙,https://sh.lianjia.com/ershoufang/107114477895.html
上海,内环内+中间楼层+西边套全明户型+有钥匙随时好看房,260,"55,794元/平",2室0厅,46.6平米,南,简装,中楼层(共6层),1991年,恒业路313弄,鲁迅公园,https://sh.lianjia.com/ershoufang/107113568603.html
上海,单价3万9+上车03年全明户型+8/20号双轨交,215,"39,904元/平",1室1厅,53.88平米,南,简装,低楼层(共17层),2003年,世和园,中原,https://sh.lianjia.com/ershoufang/107113942356.html
上海,桃浦四村 外环外随意买 精致装修 近地铁 楼层好,165,"28,278元/平",2室1厅,58.35平米,南,精装,低楼层(共6层),1993年,桃浦四村易居紫荆苑,桃浦,https://sh.lianjia.com/ershoufang/107114465618.html
上海,店长推荐！！总价低 电梯房楼龄新 停车方便 刚需宜居,79,"13,983元/平",1室1厅,56.5平米,南,毛坯,低楼层(共18层),2016年,崧泽华城昱翠雅苑,赵巷,https://sh.lianjia.com/ershoufang/107114470545.html
上海,高品质装修用材，双阳台，少有2卫户型,1500,"122,881元/平",2室2厅,122.07平米,南,精装,32层,2017年,地产尚海郦景,梅园,https://sh.lianjia.com/ershoufang/107114023792.html
上海,经典大两房，花园位置，停车方便，车位充足，非顶楼.,478,"55,601元/平",2室2厅,85.97平米,南 北,精装,高楼层(共6层),2006年,爱法新城,金桥,https://sh.lianjia.com/ershoufang/107113889391.html
上海,内环内  中间楼层  朝南一室户  产权清晰,135,"35,649元/平",1室1厅,37.87平米,南,简装,中楼层(共7层),1990年,龚家宅,甘泉宜川,https://sh.lianjia.com/ershoufang/107114202915.html
上海,业主诚意，视野开阔，楼层好，采光好,98,"17,139元/平",1室2厅,57.18平米,南,简装,中楼层(共18层),2011年,龙泽园东区,金山新城,https://sh.lianjia.com/ershoufang/107113511730.html
上海,精装修一楼带院子，低总价低首付，独门独户带天井,88.9,"18,387元/平",2室1厅,48.35平米,南,精装,低楼层(共5层),1984年,解放新村,南桥,https://sh.lianjia.com/ershoufang/107114325639.html
上海,新出好房，中高层电梯房，采光好，万达旁，价格可谈,169.9,"22,291元/平",2室1厅,76.22平米,南,毛坯,中楼层(共18层),2014年,马桥景城馨苑,老闵行,https://sh.lianjia.com/ershoufang/107114428471.html
上海,新上边套两房，进财，精装小户型，地铁双轨交16+18,138,"19,266元/平",2室1厅,71.63平米,南,精装,低楼层(共14层),2014年,汇德茗苑,航头,https://sh.lianjia.com/ershoufang/107114448367.html
上海,前滩旁，地铁100米，板式全明大三房，45平大花园,505,"54,460元/平",3室2厅,92.73平米,南,精装,低楼层(共6层),2002年,华光苑,三林,https://sh.lianjia.com/ershoufang/107114435372.html
上海,临河东边套两房，采光好，楼层适宜,159,"21,220元/平",2室1厅,74.93平米,南 北,毛坯,低楼层(共18层),2014年,新丰公寓,华新,https://sh.lianjia.com/ershoufang/107113725427.html
上海,五角场94年房龄＋近大学路＋中间楼层＋位置好,168,"48,994元/平",1室1厅,34.29平米,南,毛坯,中楼层(共6层),1994年,财大小区,五角场,https://sh.lianjia.com/ershoufang/107114335699.html
上海,正气大一房，全明户型，近地铁，楼层好，采光好,79,"16,841元/平",1室1厅,46.91平米,南,简装,低楼层(共6层),1997年,鸿宝一村(北区),西渡,https://sh.lianjia.com/ershoufang/107114483186.html
上海,近地铁9号线，全明边套大三房，户型方正，得房率高。,230,"23,296元/平",3室2厅,98.73平米,南,毛坯,低楼层(共11层),2009年,新凯二期（北区）,泗泾,https://sh.lianjia.com/ershoufang/107114463920.html
上海,公园家门口，朝南一室户，全明户型，有钥匙,138,"47,019元/平",1室0厅,29.35平米,南,精装,中楼层(共5层),1985年,裕群公寓,鲁迅公园,https://sh.lianjia.com/ershoufang/107114455903.html
上海,急售！张汤二下套必卖好房/拼手速/毛坯无溢价,888,"93,602元/平",3室2厅,94.87平米,南 北,毛坯,低楼层(共8层),2006年,张江汤臣豪园(二期),张江,https://sh.lianjia.com/ershoufang/107114024436.html
上海,万达商圈低总价三房，房东诚意卖，看中来谈,160,"15,375元/平",3室2厅,104.07平米,南,精装,低楼层(共11层),2010年,赞成红树林,金山新城,https://sh.lianjia.com/ershoufang/107114484765.html
上海,一口价产证已收，精装两房看房方便,208,"18,572元/平",2室2厅,112平米,东南,精装,低楼层(共18层),2015年,金瀚园,金山新城,https://sh.lianjia.com/ershoufang/107113994031.html
上海,河东中间位置中层）精装动静分离景观3房）带产权车位,750,"51,339元/平",3室2厅,146.09平米,南,精装,中楼层(共14层),2008年,天恒名城,颛桥,https://sh.lianjia.com/ershoufang/107114517877.html
上海,刚需电梯三房，楼层佳，景观开阔。,369,"33,009元/平",2室1厅,111.79平米,南 西,精装,高楼层(共22层),1999年,闵富大厦,莘庄南广场,https://sh.lianjia.com/ershoufang/107112446270.html
上海,近14号线，两房朝南，带双天井院子，好房看房方便,235,"37,625元/平",2室1厅,62.46平米,南,简装,低楼层(共6层),1994年,清涧二街坊,真光,https://sh.lianjia.com/ershoufang/107114519624.html
上海,边套全明户型，双南两房，采光通风好,399,"47,242元/平",2室2厅,84.46平米,南,精装,高楼层(共6层),1998年,华东花苑,上海南站,https://sh.lianjia.com/ershoufang/107113798621.html
上海,15年小区 户型方正 全明 采光无遮挡 停车方便,378,"61,314元/平",1室2厅,61.65平米,南 北,精装,低楼层(共14层),2014年,永和馨园,阳城,https://sh.lianjia.com/ershoufang/107114234506.html
上海,2017年新小区，清水毛坯，一手动迁，税费少，户型方正,95,"15,921元/平",1室1厅,59.67平米,南,毛坯,高楼层(共6层),2018年,佘北家园丽雅苑,佘山,https://sh.lianjia.com/ershoufang/107113963126.html
上海,南山雨果好房，边套，好位置，好户型，好采光,349,"39,511元/平",2室1厅,88.33平米,南,精装,高楼层(共11层),2015年,南山雨果西区,徐泾,https://sh.lianjia.com/ershoufang/107114289214.html
上海,龙湖天街+国妇婴+BRT快线+飞机户型三房 总价低,139,"13,987元/平",3室2厅,99.38平米,南,简装,低楼层(共11层),2012年,百曲雅苑,奉贤金汇,https://sh.lianjia.com/ershoufang/107114215102.html
上海,70年一梯二户+双南厨卫全明+厅带窗+抖音字节房补内,218,"36,937元/平",2室1厅,59.02平米,南,精装,高楼层(共5层),1993年,体院小区,中原,https://sh.lianjia.com/ershoufang/107114503542.html
上海,低楼层，全明户型，近地铁，采光好。,208,"35,690元/平",2室1厅,58.28平米,南,简装,低楼层(共6层),1994年,市光四村,中原,https://sh.lianjia.com/ershoufang/107114337174.html
上海,新上商品房！双南全明大边套！地铁500多米！满5唯1,206,"31,494元/平",2室1厅,65.41平米,南,简装,高楼层(共6层),1998年,丰庄十四街坊,丰庄,https://sh.lianjia.com/ershoufang/107114234631.html
上海,⭐️⭐️⭐️首付不到49.5W~ 给自己安个窝 想想都香！,320,"48,020元/平",1室1厅,66.64平米,南,简装,24层,1996年,集成大厦,陆家嘴,https://sh.lianjia.com/ershoufang/107106778553.html
上海,等了一个月这小区终于出房子了+地铁500米+植物园旁,640,"76,182元/平",2室2厅,84.01平米,南 北,简装,高楼层(共6层),1999年,挹翠苑,植物园,https://sh.lianjia.com/ershoufang/107114457081.html
上海,"客厅带大阳台，阳台落地窗，采光足得房率高,户型正气",160,"24,402元/平",1室1厅,65.57平米,南,简装,低楼层(共14层),2008年,日月星城,周浦,https://sh.lianjia.com/ershoufang/107112123141.html
上海,《汇贤居》三房带阳台，衡复风貌自然保护区，带车位,2350,"140,829元/平",3室2厅,166.87平米,南,精装,低楼层(共48层),2004年,汇贤居,衡山路,https://sh.lianjia.com/ershoufang/107111472067.html
上海,地铁口一房 带天井 品质小区 看房方便 业主诚意出售,220,"61,920元/平",1室1厅,35.53平米,南,简装,低楼层(共6层),1985年,长虹小区,新华路,https://sh.lianjia.com/ershoufang/107114393015.html
上海,十万火急毒佳单总价双帝一低东四期+淼杀无竞品,398,"58,981元/平",1室1厅,67.48平米,南,精装,高楼层(共34层),2005年,中远两湾城,中远两湾城,https://sh.lianjia.com/ershoufang/107108785463.html
上海,地铁口 御沁园少有的户型 新上诚意出售 看房方便,680,"58,977元/平",3室2厅,115.3平米,南,精装,低楼层(共21层),2013年,御沁园西区,周浦,https://sh.lianjia.com/ershoufang/107114478435.html
上海,全屋定制，精装修，世博小区，低楼层,165,"38,319元/平",1室1厅,43.06平米,南,精装,低楼层(共6层),1991年,工农三村,中原,https://sh.lianjia.com/ershoufang/107114337202.html
上海,商圈配套完善，双轨之间，总价低，近体育馆和公园,170,"26,493元/平",2室1厅,64.17平米,南 北,简装,高楼层(共6层),1995年,百花新村,周浦,https://sh.lianjia.com/ershoufang/107113350577.html
上海,此房满五+高楼层+采光好+配套设施齐全+近城市沙滩,27.9,"6,046元/平",2室1厅,46.15平米,南 北,简装,高楼层(共6层),1981年,石化十村,金山新城,https://sh.lianjia.com/ershoufang/107114417057.html
上海,双地铁9/12号线，景观房，看中价格可谈,190,"21,547元/平",2室2厅,88.18平米,南,精装,高楼层(共16层),2013年,庄泾苑,洞泾,https://sh.lianjia.com/ershoufang/107114474658.html
广州,市桥芯、小两房、可公积金、配套成熟~,50,"10,331元/平",2室1厅,48.4平米,南,其他,高楼层(共6层),塔楼,海傍路海傍后街,市桥,https://gz.lianjia.com/ershoufang/108407965653.html
广州,旺中带静，一线望河，少有的户型，近花都湖氧吧,160,"11,404元/平",3室2厅,140.31平米,西南,精装,中楼层(共23层),塔楼,在水一方,旧区,https://gz.lianjia.com/ershoufang/108407601081.html
广州,增城雅居乐御宾府4房南向，精装修 喜欢来看看,180,"12,613元/平",4室2厅,142.71平米,南,精装,高楼层(共16层),2013年,增城雅居乐御宾府,荔城西区,https://gz.lianjia.com/ershoufang/108407308599.html
广州,叠翠峰三期中高层南向望小区花园和望湖景保养好,225,"21,554元/平",3室2厅,104.39平米,东南,精装,中楼层(共26层),2018年,叠翠峰,南沙区府,https://gz.lianjia.com/ershoufang/108407754339.html
广州,源昌花园  两房  双阳台  户型好  总jia低,53,"9,325元/平",2室2厅,56.84平米,东南,其他,低楼层(共24层),塔楼,珠江源昌花园,横沥,https://gz.lianjia.com/ershoufang/108407931336.html
广州,校园环境专梯专户，平层电梯高使用率 南北对流采光好,298,"36,382元/平",3室2厅,81.91平米,南,简装,高楼层(共9层),2000年,广东外语职业艺术学院五山校区,五山,https://gz.lianjia.com/ershoufang/108406797142.html
广州,天河次新楼 小区环境好 双地铁 采光好 保养好,148,"30,719元/平",1室1厅,48.18平米,西,精装,低楼层(共19层),2017年,远洋天骄,天河客运站,https://gz.lianjia.com/ershoufang/108406938078.html
广州,实地蔷薇国际.户型方正.靠山景.采光好.,68,"7,937元/平",3室2厅,85.68平米,北,精装,中楼层(共32层),塔楼,实地蔷薇国际,荔城西区,https://gz.lianjia.com/ershoufang/108406321603.html
广州,新塘新世界花园嘉华苑 3室2厅 东南 南,150,"15,296元/平",3室2厅,98.07平米,东南 南,精装,低楼层(共7层),塔楼,新塘新世界花园嘉华苑,沙村,https://gz.lianjia.com/ershoufang/108407521001.html
广州,南向高楼层视野好，自住保养好，诚心好谈。,198,"20,190元/平",3室2厅,98.07平米,南,精装,31层,板塔结合,龙湖双珑原著,知识城,https://gz.lianjia.com/ershoufang/108407617108.html
广州,正南向安静三房、视野开阔、楼层好,350,"35,617元/平",3室2厅,98.27平米,南,精装,中楼层(共15层),2005年,岭南新世界,嘉禾望岗,https://gz.lianjia.com/ershoufang/108405226569.html
广州,此房满五年唯一  中层电梯两房,168,"25,397元/平",2室1厅,66.15平米,西,简装,中楼层(共22层),2000年,金碧花园第一金碧,金碧,https://gz.lianjia.com/ershoufang/108407687438.html
广州,两梯四户 靓楼层 低密度 安静舒适 业主诚心急出,135,"11,862元/平",3室1厅,113.81平米,东南 南,毛坯,低楼层(共25层),2016年,中新里,知识城,https://gz.lianjia.com/ershoufang/108408040124.html
广州,江南西商圈 近地铁 实用 户型方正 实用,80,"24,228元/平",1室1厅,33.02平米,北,简装,低楼层(共6层),1991年,江南大道中,江南大道中,https://gz.lianjia.com/ershoufang/108406321088.html
广州,金山谷尚层，精装大三房，高层视野好，有家电,258,"23,364元/平",3室2厅,110.43平米,北,其他,中楼层(共32层),2015年,金山谷尚层,金山谷,https://gz.lianjia.com/ershoufang/108407122986.html
广州,南北对流 全新精装 视野采光好带车位,81,"6,548元/平",3室2厅,123.72平米,南 北,精装,低楼层(共32层),2018年,碧桂园豪进左岸,石滩镇,https://gz.lianjia.com/ershoufang/108404815111.html
广州,大三房，户型方正，装修好，采光好，离地铁近,87.9,"8,953元/平",3室2厅,98.18平米,南,精装,中楼层(共19层),2015年,金马香颂居,荔城西区,https://gz.lianjia.com/ershoufang/108407511195.html
广州,全新3两房 户型方正 没按揭  手续简便,58,"7,376元/平",2室1厅,78.64平米,北 西,其他,低楼层(共11层),2013年,富力金港城东区,花东镇,https://gz.lianjia.com/ershoufang/108407950962.html
广州,江高 南国家园 步梯小区 装修保养好 业主急出手,58,"7,792元/平",3室2厅,74.44平米,南,简装,中楼层(共8层),塔楼,南国家园,江高镇,https://gz.lianjia.com/ershoufang/108408022650.html
广州,南向，看花园，安静，全屋定制，装修漂亮,66,"8,457元/平",2室2厅,78.05平米,南,精装,低楼层(共19层),2014年,金马香颂居,荔城西区,https://gz.lianjia.com/ershoufang/108407035458.html
广州,大三房   精装   中楼层  业主诚心出,158,"13,167元/平",3室1厅,120平米,西南,精装,中楼层(共31层),2013年,创鸿嘉园,金洲,https://gz.lianjia.com/ershoufang/108407879290.html
广州,国际四期，刚需两房户型方正，楼层靓。,78,"9,602元/平",2室1厅,81.24平米,东北,简装,中楼层(共32层),2015年,锦绣御景国际四期,荔城西区,https://gz.lianjia.com/ershoufang/108408014769.html
广州,广州北站地铁口，靓楼层，实用三房,65,"7,627元/平",3室1厅,85.23平米,南,精装,中楼层(共8层),塔楼,中新花园,铁路西,https://gz.lianjia.com/ershoufang/108404906432.html
广州,逸泉映翠 实用三房2厅 东南向,52,"5,240元/平",3室2厅,99.24平米,东南,毛坯,低楼层(共23层),2015年,逸泉映翠,江埔街,https://gz.lianjia.com/ershoufang/108404522135.html
广州,大城云山 南向 好楼层 一线园景无遮挡,85,"6,991元/平",3室2厅,121.6平米,南,精装,低楼层(共22层),2018年,大城云山,太平镇,https://gz.lianjia.com/ershoufang/108407042136.html
广州,小北 ，越秀公园旁，东南靓向，方正3房,300,"45,538元/平",3室2厅,65.88平米,南,毛坯,低楼层(共9层),2000年,小北路,小北,https://gz.lianjia.com/ershoufang/108407008193.html
广州,江泰路地铁50米 电梯加装中，2+1房户型，独立使用天台,169,"26,288元/平",2室1厅,64.29平米,南,简装,高楼层(共9层),1994年,翠怡小区,昌岗,https://gz.lianjia.com/ershoufang/108406972889.html
广州,复式三房带露台立体空间+空中花园演绎野级居家体验,105,"6,943元/平",3室2厅,151.25平米,南,精装,高楼层(共4层),板楼,碧桂园荔山雅筑,赤草,https://gz.lianjia.com/ershoufang/108407186533.html
广州,户型方正 空间开阔 交通便利 配套完善,25,"5,768元/平",1室0厅,43.35平米,北,精装,中楼层(共18层),2013年,南沙城,金洲,https://gz.lianjia.com/ershoufang/108406101044.html
广州,区府鸿都苑 稀有叠墅 3层毛坯带大露台 十年不遇一套,239,"9,357元/平",6室2厅,255.43平米,南 北,毛坯,高楼层(共4层),2006年,鸿都苑,旧区,https://gz.lianjia.com/ershoufang/108408004194.html
广州,精装两房 拎包入住 环境优美 居住舒适,59,"7,130元/平",2室1厅,82.76平米,东南,精装,中楼层(共17层),2014年,人盛巴厘天地,神岗镇,https://gz.lianjia.com/ershoufang/108407467482.html
广州,龙光中低楼层三房，阳台视野开阔，位置安静,140,"15,626元/平",3室1厅,89.6平米,北,精装,18层,2009年,龙光峰景华庭,科学城,https://gz.lianjia.com/ershoufang/108407442821.html
广州,二期大三房 中间位置 中间楼层  视野开阔,180,"16,854元/平",3室2厅,106.8平米,北,简装,中楼层(共7层),2000年,广州碧桂园康苑,南浦,https://gz.lianjia.com/ershoufang/108407626517.html
广州,01楼龄 准电梯 偗及星悦 广纸小区 地铁上配套成熟,135,"18,665元/平",2室2厅,72.33平米,东 东北,简装,高楼层(共9层),2001年,广纸路,工业大道中,https://gz.lianjia.com/ershoufang/108407759269.html
广州,桃园D区 南北对流 三房两卫 随时可以看房,330,"27,680元/平",3室2厅,119.22平米,北 南,精装,低楼层(共29层),2004年,富力桃园,罗冲围,https://gz.lianjia.com/ershoufang/108407444914.html
广州,中森茗苑 三房南向看花园 视野好,91,"10,495元/平",3室1厅,86.71平米,南,简装,高楼层(共24层),2014年,中森茗苑,新塘北,https://gz.lianjia.com/ershoufang/108407648926.html
广州,时代天启，南北对流大3房，全新未住,108,"9,117元/平",3室2厅,118.47平米,南 北,精装,高楼层(共32层),2018年,时代天启,荔城增江,https://gz.lianjia.com/ershoufang/108407109701.html
广州,实用精装两房 配套齐全环境优美 广州北站地铁物业,80,"10,366元/平",2室1厅,77.18平米,北,其他,中楼层(共28层),2014年,祈福天龙苑,铁路西,https://gz.lianjia.com/ershoufang/108407288800.html
广州,满五唯一，南北对流，业主保养好，视野开阔,180,"12,413元/平",4室2厅,145.02平米,东 南 北,精装,低楼层(共18层),2012年,南沙珠江湾,南沙湾,https://gz.lianjia.com/ershoufang/108406313946.html
广州,楼龄新 长寿路地铁200米 全屋尚品宅配装修 南向三房,319,"45,834元/平",3室1厅,69.6平米,南,其他,中楼层(共30层),2012年,贵贤上品,龙津,https://gz.lianjia.com/ershoufang/108407886885.html
广州,大院管理 户型方正实用 采光充足 南北对流,95,"19,456元/平",2室1厅,48.83平米,南,简装,中楼层(共7层),塔楼,四航局宿舍,沙河,https://gz.lianjia.com/ershoufang/108406394893.html
广州,西场地铁口100米南向两房  户型很方正 实用高,118,"19,936元/平",2室1厅,59.19平米,南,简装,中楼层(共8层),塔楼,东风西路,东风西,https://gz.lianjia.com/ershoufang/108407383961.html
广州,双地铁50米 晓港湾原装电梯大两房 厅出阳台光线靓,198,"22,647元/平",2室2厅,87.43平米,东 北 东北,简装,中楼层(共23层),1999年,晓港湾,东晓南,https://gz.lianjia.com/ershoufang/108407520149.html
广州,沙河地铁口 电梯三房 楼龄新 近市场 单边位 采光充足,178,"28,036元/平",3室1厅,63.49平米,西北,精装,中楼层(共9层),1995年,天福居,沙河,https://gz.lianjia.com/ershoufang/108408080370.html
广州,马鞍山公园大平层 户型优质东南向5房 马鞍山公园景观,350,"16,865元/平",5室3厅,207.54平米,东南,毛坯,中楼层(共28层),2007年,马鞍山一号,新区,https://gz.lianjia.com/ershoufang/108407175844.html
广州,度假天然氧吧 全新精装一天没住过 靓楼层，无遮挡,45,"4,164元/平",3室2厅,108.09平米,南,精装,中楼层(共18层),塔楼,花都颐和山庄,狮岭镇,https://gz.lianjia.com/ershoufang/108407721442.html
广州,西湾路西村地铁口 电梯房 协he 户型方正中层可公积金,162,"27,519元/平",2室1厅,58.87平米,南,精装,低楼层(共9层),1980年,西湾路,西村,https://gz.lianjia.com/ershoufang/108405189184.html
广州,一手业主，钥匙看房，交通方便，轻轨地铁高铁。,73,"8,606元/平",2室2厅,84.83平米,北,简装,高楼层(共26层),塔楼,群星新邨,白江,https://gz.lianjia.com/ershoufang/108407588965.html
广州,近地铁，东南看园林绿林，楼层好，采光好，通风,90.5,"9,844元/平",3室1厅,91.94平米,东南,精装,高楼层(共27层),2018年,保利中航城花园一期,朱村,https://gz.lianjia.com/ershoufang/108407005427.html
广州,电梯2房，停车方便。阳光很猛。,168,"30,097元/平",2室1厅,55.82平米,西南,简装,中楼层(共9层),塔楼,黄沙大道,黄沙,https://gz.lianjia.com/ershoufang/108407903534.html
广州,该物业全新装修、保养很好。户型优质。采光通风好。,136,"16,803元/平",3室2厅,80.94平米,东,其他,高楼层(共9层),1996年,穗芳阁,滘口,https://gz.lianjia.com/ershoufang/108407612242.html
广州,自住保养好 采光通风好 视野无遮挡,370,"39,121元/平",3室2厅,94.58平米,北,精装,低楼层(共26层),2016年,悦江上品苑,大坦沙,https://gz.lianjia.com/ershoufang/108407730434.html
广州,誉山国际小高层 纯南向看小区花园 停车免费,66,"7,703元/平",3室2厅,85.69平米,南,精装,低楼层(共18层),2016年,合景誉山国际三区,永宁,https://gz.lianjia.com/ershoufang/108408012360.html
广州,万科金色梦想复式4房，空间视野出入方便,198,"20,838元/平",4室2厅,95.02平米,南,精装,低楼层(共40层),2015年,万科金色梦想,香雪,https://gz.lianjia.com/ershoufang/108407387336.html
广州,庄士三房满五不唯一 南向高楼层  看房方便,156,"13,566元/平",3室2厅,115平米,南,精装,中楼层(共17层),塔楼,庄士映蝶蓝湾一期,石楼,https://gz.lianjia.com/ershoufang/108402137383.html
广州,五矿壹云台南向叠墅，视野开阔，无遮挡,398,"29,465元/平",4室2厅,135.08平米,南,毛坯,中楼层(共8层),塔楼,五矿壹云台,科学城,https://gz.lianjia.com/ershoufang/108406238268.html
广州,越秀滨海珺城 3室2厅 北 南,190,"15,200元/平",3室2厅,125平米,北 南,简装,中楼层(共23层),塔楼,越秀滨海珺城,明珠湾,https://gz.lianjia.com/ershoufang/108407825307.html
广州,地铁50米 新月明珠  小区中间位  看花园  中层,388,"29,439元/平",4室1厅,131.8平米,东 南,简装,中楼层(共22层),2007年,新月明珠花园,大石,https://gz.lianjia.com/ershoufang/108407688314.html
广州,祈福新村倚湖湾一房一厅，采光好，邻近祈福人工湖。,89.5,"17,295元/平",1室1厅,51.75平米,东南,精装,30层,2006年,祈福新村倚湖湾,祈福新村,https://gz.lianjia.com/ershoufang/108408057012.html
广州,中低楼层 采光通透 格局方正 配套完善,36,"7,660元/平",3室1厅,47平米,南,简装,中楼层(共4层),暂无数据,光明南路四巷,市桥,https://gz.lianjia.com/ershoufang/108407982653.html
广州,单边位 正南北对流 景观一线好看公园 采光充足,260,"22,900元/平",4室2厅,113.54平米,南 北,精装,中楼层(共34层),2016年,时代春树里,香雪,https://gz.lianjia.com/ershoufang/108406107962.html
广州,南沙区府蕉门河南北向复式两房200%使用率70年产权住宅,80,"14,358元/平",2室2厅,55.72平米,南 北,精装,中楼层(共6层),2013年,龙光棕榈水岸南区,南沙区府,https://gz.lianjia.com/ershoufang/108406614532.html
广州,富力伯爵山精装修两房 户型方正通透 环境好,75,"9,053元/平",2室2厅,82.85平米,东北,精装,中楼层(共11层),塔楼,富力伯爵山,南沙港,https://gz.lianjia.com/ershoufang/108407158146.html
广州,陈屋   市区   出行方便   配套齐全,40,"6,464元/平",2室2厅,61.89平米,南,简装,低楼层(共6层),暂无数据,东成路,河滨北路,https://gz.lianjia.com/ershoufang/108406699954.html
广州,狮带岗小区 东南向 近麓湖公园 低层一梯两户 环境安静,240,"30,284元/平",2室2厅,79.25平米,东南,简装,低楼层(共6层),板楼,狮带岗,麓景,https://gz.lianjia.com/ershoufang/108407862868.html
广州,环境舒适，空气清新，配套齐全！,119,"10,059元/平",3室2厅,118.31平米,西,简装,中楼层(共8层),1999年,骏威广场,旧区,https://gz.lianjia.com/ershoufang/108406535115.html
广州,南沙境界别墅，前后花园有100方，位置好，环境好,258,"9,816元/平",4室1厅,262.84平米,南,毛坯,低楼层(共4层),塔楼,南沙境界,黄阁,https://gz.lianjia.com/ershoufang/108406771172.html
广州,海龙湾望江南北对流户型 装修保养好 空气清新,306,"22,645元/平",3室1厅,135.13平米,东南,简装,中楼层(共9层),2004年,海龙湾,南浦,https://gz.lianjia.com/ershoufang/108406967241.html
广州,急卖，中高好楼层锦绣新天地过五年唯一精装四房,129,"9,070元/平",4室1厅,142.24平米,北,精装,高楼层(共28层),2012年,锦绣新天地,新塘南,https://gz.lianjia.com/ershoufang/108403467405.html
广州,天河北 龙口东 南向大三房两卫 花园小区 近地铁,450,"38,152元/平",3室2厅,117.95平米,南,简装,中楼层(共32层),2002年,鸿景园,天润路,https://gz.lianjia.com/ershoufang/108407468791.html
广州,宝翠苑 低楼层 正式三房 大露台大阳台户型 过五年省税,99,"13,230元/平",3室1厅,74.83平米,南,简装,低楼层(共6层),2002年,宝翠苑,市桥,https://gz.lianjia.com/ershoufang/108404915114.html
广州,祈福大盘 近地铁 高楼屋 视野开阔 精致精修,78.8,"10,464元/平",3室2厅,75.31平米,北,精装,高楼层(共28层),2014年,祈福天龙苑,铁路西,https://gz.lianjia.com/ershoufang/108404587363.html
广州,近小区大门，南向3房2卫，户型方正实用，采光充足，,116.5,"12,527元/平",3室1厅,93平米,南,简装,高楼层(共6层),2004年,锦绣生态园,钟村,https://gz.lianjia.com/ershoufang/108406394702.html
广州,市二宫旁 平层电梯 一梯三户石米 户型朝向好,172,"26,140元/平",2室1厅,65.8平米,东南,精装,高楼层(共9层),塔楼,同福东路田心坊,江南大道中,https://gz.lianjia.com/ershoufang/108407426200.html
广州,房子业主自住保养好，健康步梯，诚心卖,63,"5,268元/平",3室2厅,119.61平米,东 西,精装,高楼层(共6层),塔楼,石滩第一城,石滩镇,https://gz.lianjia.com/ershoufang/108407015196.html
广州,地铁14号线 珠江壹城 四房南北对流 双阳台 环境空气好,105,"8,323元/平",4室1厅,126.16平米,西南,精装,高楼层(共28层),塔楼,珠江国际城,神岗镇,https://gz.lianjia.com/ershoufang/108407680963.html
广州,里享家蔚来   中层  南向三房,125,"13,185元/平",3室2厅,94.81平米,南,精装,高楼层(共35层),板楼,万科里享家,黄埔永和,https://gz.lianjia.com/ershoufang/108407795607.html
广州,精装修，中高楼层保养很好。光线充足，好谈,70,"5,349元/平",3室2厅,130.88平米,北,精装,中楼层(共29层),2006年,金康花园,永宁,https://gz.lianjia.com/ershoufang/108407277973.html
广州,越秀臻悦府 高层东南向复式四房 全新没住过,220,"21,345元/平",4室2厅,103.07平米,东南,精装,高楼层(共17层),塔楼,越秀臻悦府,镜湖大道,https://gz.lianjia.com/ershoufang/108407385065.html
