标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,区域,链接
长馨园 南向高层两居 满五年唯一,156,"22,382元/平",2室1厅,69.7平米,南,其他,高楼层(共16层),2013年,长馨园,杜家坎,https://bj.lianjia.com/ershoufang/101134223983.html
港馨家园福景苑 15年纯商品房小区 楼层好 精装修,249,"25,777元/平",2室1厅,96.6平米,南 北,精装,中楼层(共18层),板楼,港馨家园福景苑,顺义城,https://bj.lianjia.com/ershoufang/101130078327.html
天泰定福苑 1室1厅 南 北,169,"31,566元/平",1室1厅,53.54平米,南 北,其他,高楼层(共6层),2004年,天泰定福苑,定福庄,https://bj.lianjia.com/ershoufang/101134208672.html
康泽佳苑南区 2室1厅 南,118,"21,549元/平",2室1厅,54.76平米,南,其他,高楼层(共28层),2014年,康泽佳苑南区,长阳,https://bj.lianjia.com/ershoufang/101134169670.html
东环居苑，满五唯一，精装修，拎包入住，文汇,490,"77,045元/平",1室1厅,63.6平米,西,精装,低楼层(共22层),2004年,东环居苑,广渠门,https://bj.lianjia.com/ershoufang/101131243914.html
万泉庄王公坟 王公坟 人大 苏州街,450,"80,892元/平",2室1厅,55.63平米,南 北,其他,10层,板楼,王公坟社区,苏州桥,https://bj.lianjia.com/ershoufang/101134259276.html
龙腾苑三区小区中间低楼层优质大两居,338,"34,671元/平",2室2厅,97.49平米,南 北,简装,6层,板楼,龙腾苑三区,回龙观,https://bj.lianjia.com/ershoufang/101133433753.html
18号线回龙观西大街 钢混结构 全明格局 物业好,275,"35,558元/平",2室1厅,77.34平米,南 西 北,精装,高楼层(共6层),2003年,北店嘉园,回龙观,https://bj.lianjia.com/ershoufang/101133573388.html
北新家园 8号线地铁200米 海淀产权 南北通透,208,"36,112元/平",2室1厅,57.6平米,南 北,其他,中楼层(共5层),板楼,北新家园,西三旗,https://bj.lianjia.com/ershoufang/101134191740.html
保利首开熙悦春天 2室1厅 南,205,"24,732元/平",2室1厅,82.89平米,南,其他,中楼层(共25层),2016年,保利首开熙悦春天,天宫院,https://bj.lianjia.com/ershoufang/101133836079.html
流星花园三区 电梯洋房 小区环境好,190,"39,683元/平",1室1厅,47.88平米,北,其他,11层,2006年,流星花园三区,回龙观,https://bj.lianjia.com/ershoufang/101130588066.html
古北水镇叠拼依山傍水自然景观70年产,78,"12,301元/平",2室1厅,63.41平米,南 北,其他,底层(共4层),2018年,龙湖长城源著2号院,古北口镇,https://bj.lianjia.com/ershoufang/101132373099.html
绿岛苑东区 2室1厅 南 北,139,"23,409元/平",2室1厅,59.38平米,南 北,简装,顶层(共6层),1979年,绿岛苑东区,定福庄,https://bj.lianjia.com/ershoufang/101131850163.html
