城市,区域,标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,链接
bj,全市,富力惠兰美居 2室1厅 南,180,"26,487元/平",2室1厅,67.96平米,南,精装,中楼层(共28层),2015年,富力惠兰美居,https://bj.lianjia.com/ershoufang/101134196746.html
bj,全市,次新小区 采光好 高楼层 城铁800米,120,"13,712元/平",2室1厅,87.52平米,南,精装,中楼层(共20层),板楼,中国铁建原香漫谷四区,https://bj.lianjia.com/ershoufang/101131140246.html
bj,全市,地铁六号线+地铁M101+精装南北通透小三居室+,259,"29,062元/平",3室1厅,89.12平米,东 南 北,简装,顶层(共13层),板楼,金地格林格林,https://bj.lianjia.com/ershoufang/101131790816.html
bj,全市,典雅庄园 1室0厅 南,109,"23,820元/平",1室0厅,45.76平米,南,其他,中楼层(共10层),2004年,典雅庄园,https://bj.lianjia.com/ershoufang/101134140669.html
bj,全市,腾龙家园一层篱笆三居室 水墨林溪3室2厅适合老人,188,"15,708元/平",3室2厅,119.69平米,南 北,简装,6层,2007年,腾龙家园一区,https://bj.lianjia.com/ershoufang/101121029056.html
bj,全市,孙河乡，康营家园四期C区一居室,155,"26,442元/平",1室1厅,58.62平米,南,简装,低楼层(共21层),2022年,康营家园四期C区,https://bj.lianjia.com/ershoufang/101134370129.html
bj,全市,良乡恒大滨河左岸北区南向两居精装近地铁生活便利,146,"17,899元/平",2室1厅,81.57平米,南,精装,底层(共9层),2018年,恒大滨河左岸北区,https://bj.lianjia.com/ershoufang/101134254866.html
bj,全市,筑华年+南北通透两居+拎包入住+高层观景业主靠谱出,568,"66,009元/平",2室2厅,86.05平米,南 北,精装,中楼层(共28层),2012年,筑华年,https://bj.lianjia.com/ershoufang/101133066989.html
bj,全市,四环边 精装修 南北通透 总高六层的板楼 两居室,198,"35,491元/平",2室1厅,55.79平米,南 北,其他,中楼层(共6层),1993年,南五里店45号院,https://bj.lianjia.com/ershoufang/101131220445.html
bj,全市,水碓子东路中高楼层，双朝南两居室,279,"50,226元/平",2室1厅,55.55平米,南,简装,高楼层(共6层),1985年,水碓子东路,https://bj.lianjia.com/ershoufang/101129427615.html
bj,全市,双榆树北里 中间楼层精装两居 采光无遮挡,519,"95,581元/平",2室1厅,54.3平米,南 北,精装,中楼层(共6层),板楼,双榆树北里,https://bj.lianjia.com/ershoufang/101129967754.html
bj,全市,京贸国际公寓双朝阳电梯两居室中间层观景花园临近地铁,234,"23,961元/平",2室1厅,97.66平米,西南,精装,中楼层(共24层),2002年,京贸国际公寓,https://bj.lianjia.com/ershoufang/101130975925.html
bj,全市,西辛南区 南北通透 采光好 视野好,105,"21,610元/平",1室1厅,48.59平米,南 北,简装,6层,1994年,西辛南区,https://bj.lianjia.com/ershoufang/101131297210.html
bj,全市,太平路40号院 2室1厅 南 北,430,"76,924元/平",2室1厅,55.9平米,南 北,简装,低楼层(共6层),板楼,太平路40号院,https://bj.lianjia.com/ershoufang/101131927587.html
sh,全市,内环内+朝南一房一厅+铁岭一路之隔+陪读优选,171,"44,930元/平",1室1厅,38.06平米,南,精装,低楼层(共5层),1972年,鞍山路215弄,https://sh.lianjia.com/ershoufang/107113970786.html
sh,全市,双南两房，近地铁，近同济大学，生活便利,318,"52,089元/平",2室1厅,61.05平米,南,精装,高楼层(共6层),1995年,公交新村,https://sh.lianjia.com/ershoufang/107111311263.html
sh,全市,满五*南北通两房，中间楼层+双轨交万达商圈,248,"32,966元/平",2室2厅,75.23平米,南,精装,中楼层(共5层),2005年,水岸秀苑,https://sh.lianjia.com/ershoufang/107113994224.html
sh,全市,保养新，采光好，中间层。业主诚意出售。,246.6,"31,636元/平",2室1厅,77.95平米,南 北,精装,低楼层(共27层),2014年,万科城,https://sh.lianjia.com/ershoufang/107113686253.html
sh,全市,装修还不错，随时可看，总价低，楼层好,30,"7,390元/平",1室1厅,40.6平米,南,简装,低楼层(共3层),1976年,老卫清路604弄,https://sh.lianjia.com/ershoufang/107114415342.html
sh,全市,楼层好，天街旁，上大附属，毛坯易改动,95,"13,407元/平",2室1厅,70.86平米,南,毛坯,高楼层(共18层),2013年,南行旺苑,https://sh.lianjia.com/ershoufang/107114132666.html
sh,全市,满五。通风采光好户型方正。安静配套齐全。交通便利,228,"39,660元/平",2室1厅,57.49平米,南,简装,高楼层(共6层),1992年,工农三村,https://sh.lianjia.com/ershoufang/107114371018.html
sh,全市,边套户型，看房方便，采光视野好，楼层好,112,"15,218元/平",2室2厅,73.6平米,南,精装,低楼层(共24层),2015年,星怡苑慈竹路176弄,https://sh.lianjia.com/ershoufang/107114473472.html
sh,全市,双南边户|厨房12.3平|价格可谈|看房有钥匙,259,"43,537元/平",2室1厅,59.49平米,南,精装,中楼层(共5层),1980年,上钢四村,https://sh.lianjia.com/ershoufang/107114125364.html
sh,全市,区域总代言，干挂石材外立面，人车分流小区，环境好,376,"34,136元/平",3室2厅,110.15平米,南 北,精装,18层,2014年,保利星海屿筑一期,https://sh.lianjia.com/ershoufang/107114352766.html
sh,全市,此房一楼入户，喜欢一楼的人低总价,101,"26,891元/平",1室1厅,37.56平米,南,简装,低楼层(共6层),1978年,民主街24弄,https://sh.lianjia.com/ershoufang/107112795122.html
sh,全市,中高层双南边套，前看河景右看佘山，就两个字必卖,155,"21,289元/平",2室1厅,72.81平米,南,简装,高楼层(共15层),2012年,新凯城钟秀苑,https://sh.lianjia.com/ershoufang/107114421588.html
sh,全市,凰金楼层 全南户型 采光充足 配套齐全 交通便利,135,"24,862元/平",2室1厅,54.3平米,南,简装,中楼层(共5层),1988年,东南三村,https://sh.lianjia.com/ershoufang/107112891033.html
sh,全市,星纳家园优选：地铁口+双南正户型配景观楼层,228,"30,592元/平",2室1厅,74.53平米,南,精装,16层,2011年,星纳家园,https://sh.lianjia.com/ershoufang/107113913812.html
sh,全市,⭐⭐⭐精装全明，位置好，非顶楼，总价低，单价低,228,"37,110元/平",2室1厅,61.44平米,东南 南,精装,高楼层(共6层),1994年,由由二村,https://sh.lianjia.com/ershoufang/107113585113.html
sh,全市,老静安，地铁口电梯高区景观全南两房,588,"70,470元/平",2室2厅,83.44平米,南,精装,33层,1996年,东安公寓,https://sh.lianjia.com/ershoufang/107114402185.html
sh,全市,电梯两房   8号线地铁500米左右,360,"60,863元/平",2室1厅,59.15平米,南,简装,中楼层(共7层),1995年,通阁小区,https://sh.lianjia.com/ershoufang/107114428485.html
sh,全市,此房自住装修，采光好，三开间朝南,329,"24,836元/平",3室2厅,132.47平米,南 北,精装,高楼层(共18层),2015年,马陆金沙湾,https://sh.lianjia.com/ershoufang/107114418499.html
sh,全市,中间楼层，满五年为一，近丰庄站,159,"27,905元/平",1室1厅,56.98平米,南,简装,中楼层(共6层),1994年,金丰新村,https://sh.lianjia.com/ershoufang/107111441935.html
sh,全市,飞机户型，采光佳，近远香湖，诚意出售,455,"38,242元/平",3室2厅,118.98平米,南 北,精装,低楼层(共14层),2018年,上实海上公元,https://sh.lianjia.com/ershoufang/107114387574.html
sh,全市,此房二手买进，税费少，高楼层，通风采光好,128,"18,986元/平",2室1厅,67.42平米,南,精装,高楼层(共8层),2018年,佘北家园竹青苑,https://sh.lianjia.com/ershoufang/107112949012.html
sh,全市,满五税费少 位置好    前后无遮挡很安静    出行便利,728,"54,565元/平",3室2厅,133.42平米,南,精装,中楼层(共14层),2005年,绿水家园,https://sh.lianjia.com/ershoufang/107113487440.html
sh,全市,"税费各付 高区前排景观房 精装修 有钥匙 地铁7,15号线",568,"44,532元/平",4室2厅,127.55平米,东,精装,21层,2013年,保利叶语(二期)(公寓),https://sh.lianjia.com/ershoufang/107114393894.html
sh,全市,电梯房，户型方正，前后无遮挡，业主诚意出售,72,"14,264元/平",1室1厅,50.48平米,南 北,毛坯,中楼层(共14层),2012年,绿地长兴新苑北苑,https://sh.lianjia.com/ershoufang/107114423360.html
sh,全市,电梯房里好价格 +大三房 + 位置好+业主诚心出售,210,"20,631元/平",3室2厅,101.79平米,南,毛坯,低楼层(共11层),2006年,东升家园(三期),https://sh.lianjia.com/ershoufang/107114096111.html
sh,全市,双南户型，低楼层爬楼轻松，看房方便,278,"40,349元/平",2室1厅,68.9平米,南,简装,低楼层(共6层),1995年,龙柏四村三小区,https://sh.lianjia.com/ershoufang/107113090296.html
sh,全市,港商打造品质电梯房小区，小区中间位置看泳池景观,539,"46,534元/平",3室2厅,115.83平米,南,简装,中楼层(共12层),2003年,嘉富丽苑,https://sh.lianjia.com/ershoufang/107112430288.html
sh,全市,精装别墅有电梯 三复四+阁楼露台南面采光好,499,"43,876元/平",3室2厅,113.73平米,南,精装,低楼层(共3层),2018年,保利建工西郊锦庐,https://sh.lianjia.com/ershoufang/107114427161.html
sh,全市,低楼层，南花园，近商场，近地铁！,68,"18,464元/平",1室1厅,36.83平米,南,简装,低楼层(共5层),板楼,解放新村,https://sh.lianjia.com/ershoufang/107114428383.html
sh,全市,美兰湖7号线 方正户型，好楼层采光通风好，环境好,138,"19,317元/平",2室1厅,71.44平米,南,简装,中楼层(共18层),2015年,佳欣苑,https://sh.lianjia.com/ershoufang/107114229090.html
sh,全市,三号线地铁口，全明户型，不讲虚的，198一口价,198,"32,913元/平",2室1厅,60.16平米,南 北,简装,中楼层(共6层),1997年,高境二村,https://sh.lianjia.com/ershoufang/107113758444.html
sh,全市,近地铁，中间楼层，双楠两房户型正气，采光好视野开阔,136,"30,728元/平",2室0厅,44.26平米,南,精装,中楼层(共5层),1981年,海滨二村(宝山),https://sh.lianjia.com/ershoufang/107114198183.html
sh,全市,8号10号线双地铁租售比3以上，楼上大空间，南向阳光好,139,"43,008元/平",1室0厅,32.32平米,南,简装,高楼层(共5层),1976年,大西小区,https://sh.lianjia.com/ershoufang/107114278992.html
sh,全市,张江南 11/16号线 业主看好房子置换急售 可谈,209,"28,363元/平",2室2厅,73.69平米,南,精装,中楼层(共6层),2006年,昱龙家园南区,https://sh.lianjia.com/ershoufang/107114167843.html
sh,全市,店总主推 7、15号线 双规交通 采光通风好 华山医院,205,"27,711元/平",2室1厅,73.98平米,南 北,简装,低楼层(共8层),2008年,古北菊翔苑(菊联路233弄),https://sh.lianjia.com/ershoufang/107114372724.html
sh,全市,此房满五，电梯房，双南，近地铁，房东诚意卖,248,"49,246元/平",1室1厅,50.36平米,南,简装,高楼层(共6层),1997年,绿园一村,https://sh.lianjia.com/ershoufang/107114129682.html
sh,全市,带10平米小院+总价低+满二买进价格高税费少+诚意卖！,100,"32,207元/平",1室1厅,31.05平米,南,简装,低楼层(共6层),1997年,恒嘉花园,https://sh.lianjia.com/ershoufang/107114346023.html
sh,全市,中环内新出大二房.10年的次新小区 ，您值得拥有,625,"60,463元/平",2室2厅,103.37平米,南,精装,高楼层(共11层),2010年,东旺名苑,https://sh.lianjia.com/ershoufang/107112442655.html
sh,全市,南北通 精装修 电梯好楼层 诚意出售 商圈聚焦,175,"18,251元/平",2室2厅,95.89平米,南 北,精装,中楼层(共11层),2007年,古佳苑,https://sh.lianjia.com/ershoufang/107114121420.html
sh,全市,育秀双试验+非顶楼+配套齐全+近如意家园,135,"14,841元/平",2室2厅,90.97平米,南,简装,高楼层(共6层),2000年,江海花园,https://sh.lianjia.com/ershoufang/107113097605.html
sh,全市,电梯房 愚园一 次顶楼 采光视野好 江苏路地铁,229,"79,819元/平",1室1厅,28.69平米,南,精装,6层,1994年,南辉小区,https://sh.lianjia.com/ershoufang/107114390206.html
sh,全市,满五税费少+中间楼层+视野开阔+诚心出售,139,"30,120元/平",1室1厅,46.15平米,南,简装,中楼层(共6层),1995年,绿星小区,https://sh.lianjia.com/ershoufang/107114465562.html
sh,全市,新上方正双南双阳台两房，精装修可拎包入住，诚意出售,206,"29,804元/平",2室1厅,69.12平米,南,精装,高楼层(共6层),1995年,航华二村驰骋小区,https://sh.lianjia.com/ershoufang/107114359906.html
sh,全市,05年商品房小区50万精装带地暖 楼下车库四季不潮,850,"66,195元/平",3室2厅,128.41平米,南,精装,低楼层(共10层),2005年,罗山怡景苑,https://sh.lianjia.com/ershoufang/107112518976.html
sh,全市,本房子南北通风  两房一厅四面窗户,126.8,"24,771元/平",2室1厅,51.19平米,南,简装,高楼层(共6层),1997年,宝山三村,https://sh.lianjia.com/ershoufang/107114368526.html
sh,全市,真正的地铁口噢，大两房，需要地铁的可以看看,183,"21,280元/平",2室1厅,86平米,南 北,简装,低楼层(共6层),2005年,兴东佳苑(一期),https://sh.lianjia.com/ershoufang/107113662398.html
sh,全市,近地铁双轨交塘和家园德悦苑优质三房,178,"22,684元/平",3室1厅,78.47平米,南,简装,低楼层(共18层),2015年,塘和家园德悦苑,https://sh.lianjia.com/ershoufang/107113776396.html
sh,全市,双轨交 双南双阳台 中楼层 精装 看房方便,335,"64,103元/平",2室1厅,52.26平米,南,精装,中楼层(共6层),1990年,新风小区,https://sh.lianjia.com/ershoufang/107114240283.html
sh,全市,前排高区，视野无遮挡，诚意出售,430,"43,932元/平",3室2厅,97.88平米,南,精装,中楼层(共25层),2018年,保利熙悦,https://sh.lianjia.com/ershoufang/107113422440.html
sh,全市,地铁200米，新装修，配套齐全，看中价格可谈,230,"22,934元/平",3室2厅,100.29平米,南,精装,高楼层(共6层),2005年,民乐佳苑二区,https://sh.lianjia.com/ershoufang/107114283112.html
sh,全市,一楼带院子，双南户型，位置安静，采光充足,448,"70,529元/平",2室1厅,63.52平米,南,简装,低楼层(共6层),1995年,桂林苑,https://sh.lianjia.com/ershoufang/107114465630.html
sh,全市,大宁次新楼盘 精装修交付 人车分流 两梯两户 采光很好,1046,"90,965元/平",3室2厅,114.99平米,南 北,精装,中楼层(共17层),2016年,象屿大宁悦府,https://sh.lianjia.com/ershoufang/107114059773.html
sh,全市,新上带院子，99年小区，诚意出售,356,"52,640元/平",2室1厅,67.63平米,南,简装,低楼层(共6层),1999年,定威小区,https://sh.lianjia.com/ershoufang/107113915217.html
sh,全市,东边套带天井，8号线地铁口，无抵押，小区中间位置,235,"47,494元/平",2室1厅,49.48平米,南 北,简装,低楼层(共6层),1983年,兰花新村,https://sh.lianjia.com/ershoufang/107114143194.html
sh,全市,一口价推广，6/9双轨，金桥公园旁，全屋整装，商品房,288,"44,867元/平",2室1厅,64.19平米,南,精装,高楼层(共6层),1997年,金鹏苑,https://sh.lianjia.com/ershoufang/107114165042.html
sh,全市,华师大系，地铁次新三房，业主急售。,200,"21,858元/平",3室1厅,91.5平米,南 北,精装,低楼层(共8层),2020年,海上风华,https://sh.lianjia.com/ershoufang/107113758133.html
sh,全市,南北采光充足交通便利满五only诚心,349,"72,891元/平",2室1厅,47.88平米,南,简装,高楼层(共7层),1989年,乐山二村,https://sh.lianjia.com/ershoufang/107114359947.html
sh,全市,带充电桩 位置好，满五年，税费少 南北通，上傅雷,209,"26,813元/平",2室2厅,77.95平米,南 北,精装,低楼层(共14层),2010年,达城锦园,https://sh.lianjia.com/ershoufang/107114303049.html
sh,全市,近地铁22号线凌空站100米 全明 楼层佳 打一＋模范,208,"27,204元/平",2室1厅,76.46平米,南,简装,中楼层(共11层),2010年,舜峰家苑,https://sh.lianjia.com/ershoufang/107114187137.html
sh,全市,朝南单价低一房，采光好视野佳，近地铁，有钥匙随时看,285,"82,849元/平",1室0厅,34.4平米,南,精装,中楼层(共7层),1987年,斜晖小区,https://sh.lianjia.com/ershoufang/107114151418.html
sh,全市,小区花园位置带暖气有30平院子南北通得房率高诚意出售,565,"66,604元/平",3室2厅,84.83平米,南,精装,低楼层(共6层),2003年,栖山家园,https://sh.lianjia.com/ershoufang/107113505342.html
sh,全市,安静位置带院子+采光好+随时看房业主诚心出售！～,245,"42,923元/平",2室1厅,57.08平米,南,简装,低楼层(共6层),1994年,梅陇四村,https://sh.lianjia.com/ershoufang/107114231729.html
sh,全市,老静安+高区电梯房+南北通房型+近地铁+自住装修可拎包,329,"78,954元/平",1室1厅,41.67平米,南 北,精装,高楼层(共6层),1989年,向新新村,https://sh.lianjia.com/ershoufang/107114043306.html
sh,全市,鹤沙精选 电梯高层南北通 临河位置 低总价 有钥匙,151.8,"22,161元/平",2室1厅,68.5平米,南 北,简装,中楼层(共18层),2011年,昱星家园西区,https://sh.lianjia.com/ershoufang/107114418011.html
sh,全市,泥城硬核户型，低总价王炸产品，随时可看房,67.8,"9,601元/平",1室1厅,70.62平米,南,简装,低楼层(共12层),2008年,云帆花苑,https://sh.lianjia.com/ershoufang/107114279745.html
sh,全市,新上双南，精装修，正对小区花园，小区有地下车库！！,228,"32,661元/平",2室1厅,69.81平米,南,精装,低楼层(共34层),2011年,城市方园,https://sh.lianjia.com/ershoufang/107114404320.html
sh,全市,：近蓬莱公园，一梯三户，南北通，闹中取静,328,"76,618元/平",2室1厅,42.81平米,南,简装,中楼层(共5层),1978年,车站支路99弄,https://sh.lianjia.com/ershoufang/107114438834.html
sh,全市,中环旁电梯中间楼层次新房两房，位置好楼层好,260,"31,700元/平",2室1厅,82.02平米,南 北,毛坯,中楼层(共14层),2007年,紫晶苑,https://sh.lianjia.com/ershoufang/107112617683.html
sh,全市,同景苑一房带阁楼 自住可拎包 视野开阔 满五年,152,"27,627元/平",1室1厅,55.02平米,南,精装,高楼层(共6层),2006年,同景苑,https://sh.lianjia.com/ershoufang/107113389270.html
sh,全市,一口价房源！！全明3房+满5唯1+总价低+刚需房,125,"17,955元/平",3室1厅,69.62平米,南,简装,高楼层(共6层),1994年,万寿新村一、二区,https://sh.lianjia.com/ershoufang/107110205872.html
sh,全市,非顶楼，花园位置，无硬伤，产权清晰，接受议价,148,"43,775元/平",1室0厅,33.81平米,南,精装,高楼层(共6层),1982年,潍坊四村,https://sh.lianjia.com/ershoufang/107113894022.html
sh,全市,徐汇滨江次新小高层 江景房  安静宜居,775,"67,450元/平",3室2厅,114.9平米,南 北,精装,高楼层(共15层),2010年,华滨家园,https://sh.lianjia.com/ershoufang/107112678172.html
sh,全市,此房一楼入户，喜欢一楼的人低总价,101,"26,891元/平",1室1厅,37.56平米,南,简装,低楼层(共6层),1978年,民主街24弄,https://sh.lianjia.com/ershoufang/107112795122.html
sh,全市,飞机户型，采光佳，近远香湖，诚意出售,455,"38,242元/平",3室2厅,118.98平米,南 北,精装,低楼层(共14层),2018年,上实海上公元,https://sh.lianjia.com/ershoufang/107114387574.html
sh,全市,此房二手买进，税费少，高楼层，通风采光好,128,"18,986元/平",2室1厅,67.42平米,南,精装,高楼层(共8层),2018年,佘北家园竹青苑,https://sh.lianjia.com/ershoufang/107112949012.html
sh,全市,低楼层+钥匙房+1 诚意卖+位置好,69,"18,465元/平",1室1厅,37.37平米,南,简装,低楼层(共6层),1995年,巨龙台湾城,https://sh.lianjia.com/ershoufang/107114429030.html
sh,全市,全新装修-中调+地暖，省时省力省心，诚售，价格可谈,399,"43,187元/平",2室2厅,92.39平米,南,精装,高楼层(共6层),2007年,玉兰香苑(三期),https://sh.lianjia.com/ershoufang/107114000620.html
sh,全市,中间楼层，满五年为一，近丰庄站,159,"27,905元/平",1室1厅,56.98平米,南,简装,中楼层(共6层),1994年,金丰新村,https://sh.lianjia.com/ershoufang/107111441935.html
sh,全市,新上 满五V壹+精装修+南北通透+楼栋位于人车分流区域,790,"72,259元/平",2室2厅,109.33平米,南 北,精装,低楼层(共14层),2007年,合生江湾国际公寓,https://sh.lianjia.com/ershoufang/107114058608.html
sh,全市,高品质小区，精装自住，保养用心，可直接拎包入住。,260,"34,451元/平",2室2厅,75.47平米,南,精装,中楼层(共19层),2018年,信达蓝尊,https://sh.lianjia.com/ershoufang/107112360546.html
sh,全市,"13年次顶楼 全天日照8H, 视野很好！ 交通便利 近地铁",323,"38,462元/平",2室1厅,83.98平米,南,精装,高楼层(共10层),2013年,和祥佳园,https://sh.lianjia.com/ershoufang/107111751623.html
sh,全市,精装三房，总价低，有地铁。近公园配套齐全,159.9,"21,455元/平",3室1厅,74.53平米,南 北,精装,高楼层(共6层),1995年,凌桥二村,https://sh.lianjia.com/ershoufang/107114503258.html
sh,全市,2016年电梯房，一手动迁，税费少,190,"24,428元/平",2室2厅,77.78平米,南,毛坯,低楼层(共15层),2015年,华川家园,https://sh.lianjia.com/ershoufang/107112123232.html
sh,全市,新上两房 老静安 14号地铁口  品质小区  2梯4户,666,"71,567元/平",2室1厅,93.06平米,南 北,简装,低楼层(共19层),2001年,欣宏嘉园,https://sh.lianjia.com/ershoufang/107114454506.html
sh,全市,随时看房、低总价perfect户型、朝南中楼层,166,"41,625元/平",1室1厅,39.88平米,南,精装,中楼层(共6层),1994年,香楠小区,https://sh.lianjia.com/ershoufang/107114011153.html
sh,全市,商圈地铁医疗 齐全 南北大两房  走过路过不要错过,219,"28,222元/平",2室2厅,77.6平米,南 北,毛坯,低楼层(共21层),2015年,嘉海雅苑北区,https://sh.lianjia.com/ershoufang/107114091226.html
sh,全市,小一房，户型合理，南北格局，采光好，地铁600米,145,"28,321元/平",1室1厅,51.2平米,南,精装,高楼层(共6层),2005年,丰舍东苑,https://sh.lianjia.com/ershoufang/107114440367.html
sh,全市,新上精装两房  好户型  一梯两户  近地铁人民医院,155,"23,156元/平",2室1厅,66.94平米,南,精装,高楼层(共6层),1994年,绿海家园,https://sh.lianjia.com/ershoufang/107114429774.html
sh,全市,万科经典两房 景观好 视野佳 进出方便 适宜居住,288,"39,062元/平",2室2厅,73.73平米,南 北,精装,中楼层(共7层),1994年,万科城市花园,https://sh.lianjia.com/ershoufang/107114253812.html
sh,全市,高楼层一房陆家嘴三件套清晰可见 配套齐全 年轻人喜欢,120,"23,320元/平",1室1厅,51.46平米,南,简装,中楼层(共18层),2017年,瑞和雅苑壹街区,https://sh.lianjia.com/ershoufang/107114321910.html
sh,全市,店长强力推荐，低总价好房 业主诚意出售,43,"10,258元/平",1室1厅,41.92平米,南,简装,中楼层(共4层),1982年,北门二村,https://sh.lianjia.com/ershoufang/107114497848.html
sh,全市,精装一房+地铁6号线+配套齐全+楼层好,173,"43,853元/平",1室1厅,39.45平米,南,简装,中楼层(共6层),1989年,临沂八村,https://sh.lianjia.com/ershoufang/107114377328.html
sh,全市,阳台就可看到小区泳池 小区次顶楼 随时可看,858,"73,397元/平",3室2厅,116.9平米,南,精装,高楼层(共18层),2017年,华发四季,https://sh.lianjia.com/ershoufang/107113867964.html
sh,全市,三开间朝南户型，小区前排沿河，,95,"10,746元/平",2室1厅,88.41平米,南,简装,低楼层(共18层),2010年,绿地启航城,https://sh.lianjia.com/ershoufang/107112265654.html
sh,全市,北蔡之星，25万精装修刚刚结束，一梯两户，接受市场。,199,"31,563元/平",2室1厅,63.05平米,南 北,精装,高楼层(共6层),1996年,绿川小区西区,https://sh.lianjia.com/ershoufang/107114191603.html
sh,全市,精装修70万满五沿河景观楼层近地铁出行购物方便,635,"35,157元/平",3室2厅,180.62平米,南,精装,中楼层(共11层),2010年,绿中海明苑三期公寓,https://sh.lianjia.com/ershoufang/107114404786.html
sh,全市,房子只有契税，中间位置，视野开阔，可拎包入住,288,"35,351元/平",2室1厅,81.47平米,南 北,精装,高楼层(共18层),2013年,新城金郡1518弄,https://sh.lianjia.com/ershoufang/107114215209.html
sh,全市,近地铁09年电梯三房 双阳台落地窗视野开阔 看房随时,538,"39,253元/平",3室2厅,137.06平米,南,简装,中楼层(共12层),2009年,鼎鑫名流苑,https://sh.lianjia.com/ershoufang/107114396803.html
sh,全市,小区中间位置，楼层好，前后无遮挡，阳光充足,34.5,"7,963元/平",2室0厅,43.33平米,南 西,简装,中楼层(共6层),1981年,石化十村,https://sh.lianjia.com/ershoufang/107114317785.html
sh,全市,精装修，地铁口，诚意出售，看房随时，有钥匙，采光好,365,"44,437元/平",2室2厅,82.14平米,南 北,精装,高楼层(共6层),1997年,新长征花苑,https://sh.lianjia.com/ershoufang/107114412131.html
sh,全市,次新小区，一手动迁，户型方正，动迁 税费少,120,"21,572元/平",1室2厅,55.63平米,南,精装,低楼层(共18层),2017年,云翔佳苑南区,https://sh.lianjia.com/ershoufang/107110678162.html
sh,全市,14号线新出电梯南北两房 一梯三户 紧靠公园 看房方便,376,"44,561元/平",2室2厅,84.38平米,南 北,简装,高楼层(共11层),2012年,金葵新城(西区),https://sh.lianjia.com/ershoufang/107114457803.html
sh,全市,诚意出售，看房方便，低楼层，拎包入住,75,"15,887元/平",2室1厅,47.21平米,南 北,精装,中楼层(共5层),1979年,水仙小区,https://sh.lianjia.com/ershoufang/107114035599.html
sh,全市,五年不出一套爆款边套带大花园，高半层地铁口,628,"57,221元/平",3室2厅,109.75平米,南 西南,精装,低楼层(共7层),2001年,金沙雅苑(一期),https://sh.lianjia.com/ershoufang/107114497049.html
sh,全市,中间楼层，精装修，房型正气，业主诚意度拉满,269,"45,325元/平",2室1厅,59.35平米,南,精装,中楼层(共6层),1993年,六里二村,https://sh.lianjia.com/ershoufang/107114414668.html
sh,全市,中间位置新上高区朝南一房一厅，有钥匙随时看，非顶楼,650,"104,805元/平",1室1厅,62.02平米,南,精装,高楼层(共30层),2003年,上海壹街区,https://sh.lianjia.com/ershoufang/107113524049.html
sh,全市,全明户型 2室2厅 南北 江湾公园 环境优美,306,"34,487元/平",2室1厅,88.73平米,南,简装,中楼层(共6层),1996年,丰镇新村,https://sh.lianjia.com/ershoufang/107111597593.html
sh,全市,精装修双南小两房，低楼层进出方便，独特弧形阳台,193,"39,729元/平",2室1厅,48.58平米,南,简装,低楼层(共6层),1993年,济阳三村,https://sh.lianjia.com/ershoufang/107114384540.html
sh,全市,2016年电梯房，南北通透，业主诚售，看房方便,218,"26,901元/平",2室2厅,81.04平米,南 北,简装,低楼层(共15层),2015年,华川家园,https://sh.lianjia.com/ershoufang/107114477895.html
sh,全市,内环内+中间楼层+西边套全明户型+有钥匙随时好看房,260,"55,794元/平",2室0厅,46.6平米,南,简装,中楼层(共6层),1991年,恒业路313弄,https://sh.lianjia.com/ershoufang/107113568603.html
sh,全市,单价3万9+上车03年全明户型+8/20号双轨交,215,"39,904元/平",1室1厅,53.88平米,南,简装,低楼层(共17层),2003年,世和园,https://sh.lianjia.com/ershoufang/107113942356.html
sh,全市,桃浦四村 外环外随意买 精致装修 近地铁 楼层好,165,"28,278元/平",2室1厅,58.35平米,南,精装,低楼层(共6层),1993年,桃浦四村易居紫荆苑,https://sh.lianjia.com/ershoufang/107114465618.html
sh,全市,店长推荐！！总价低 电梯房楼龄新 停车方便 刚需宜居,79,"13,983元/平",1室1厅,56.5平米,南,毛坯,低楼层(共18层),2016年,崧泽华城昱翠雅苑,https://sh.lianjia.com/ershoufang/107114470545.html
sh,全市,高品质装修用材，双阳台，少有2卫户型,1500,"122,881元/平",2室2厅,122.07平米,南,精装,32层,2017年,地产尚海郦景,https://sh.lianjia.com/ershoufang/107114023792.html
sh,全市,经典大两房，花园位置，停车方便，车位充足，非顶楼.,478,"55,601元/平",2室2厅,85.97平米,南 北,精装,高楼层(共6层),2006年,爱法新城,https://sh.lianjia.com/ershoufang/107113889391.html
sh,全市,内环内  中间楼层  朝南一室户  产权清晰,135,"35,649元/平",1室1厅,37.87平米,南,简装,中楼层(共7层),1990年,龚家宅,https://sh.lianjia.com/ershoufang/107114202915.html
sh,全市,业主诚意，视野开阔，楼层好，采光好,98,"17,139元/平",1室2厅,57.18平米,南,简装,中楼层(共18层),2011年,龙泽园东区,https://sh.lianjia.com/ershoufang/107113511730.html
sh,全市,精装修一楼带院子，低总价低首付，独门独户带天井,88.9,"18,387元/平",2室1厅,48.35平米,南,精装,低楼层(共5层),1984年,解放新村,https://sh.lianjia.com/ershoufang/107114325639.html
sh,全市,新出好房，中高层电梯房，采光好，万达旁，价格可谈,169.9,"22,291元/平",2室1厅,76.22平米,南,毛坯,中楼层(共18层),2014年,马桥景城馨苑,https://sh.lianjia.com/ershoufang/107114428471.html
